epoch,Tmid_BTJD
-1,2140.2846257371357
0,2149.6330674304177
1,2158.9815091236997
2,2168.3299508169816
3,2177.6783925102636
4,2187.0268342035456
5,2196.3752758968276
6,2205.72371759011
7,2215.072159283392
8,2224.420600976674
9,2233.769042669956
10,2243.117484363238
11,2252.46592605652
12,2261.814367749802
13,2271.162809443084
14,2280.511251136366
15,2289.8596928296483
16,2299.2081345229303
17,2308.5565762162123
18,2317.9050179094943
19,2327.2534596027763
20,2336.6019012960583
21,2345.9503429893402
22,2355.298784682622
23,2364.647226375904
24,2373.995668069186
25,2383.3441097624686
26,2392.6925514557506
27,2402.0409931490326
28,2411.3894348423146
29,2420.7378765355966
30,2430.0863182288786
31,2439.4347599221605
32,2448.7832016154425
33,2458.1316433087245
34,2467.4800850020065
35,2476.828526695289
36,2486.176968388571
37,2495.525410081853
38,2504.873851775135
39,2514.222293468417
40,2523.570735161699
41,2532.919176854981
42,2542.267618548263
43,2551.616060241545
44,2560.9645019348272
45,2570.312943628109
46,2579.661385321391
47,2589.009827014673
48,2598.358268707955
311183180,9.348442,2149.63307,stitched_TLS,alias_half,odd_even_sigma_at_2xP=10.44
311183180,18.696884,2149.63307,stitched_TLS,adopted_for_vetting_EB_likely,odd_even_sigma=10.44
