tic_id,toi_id,period_d,teff_k,tmag,disposition,ra_deg,dec_deg,rstar_rsun,rp_rearth,notes
459978312,1487.01,23.28798,5047.0,5.28906,FA,,,8.95,14.6492,
87216634,5789.01,12.9256051,5132.0,6.5715,PC,,,0.88,2.53704,
279741379,186.01,35.6134391,4628.53,6.9934,CP,,,0.71,3.12194,
243187830,2009.01,1071.0898448,4755.33,7.3551,PC,,,0.701499,2.2407785,
441462736,197.01,14.278122,5105.0,7.3566,CP,,,2.90324,8.3566078,
271478281,2194.01,15.3419095,4669.0,7.4259,CP,,,0.69,1.7005,
264678534,1611.01,16.2016817,5071.0,7.5825,CP,,,0.78,2.38101,
77175217,4328.01,703.79367,4709.0,7.7679,PC,,,0.739835,1.860295,
75878355,2134.02,95.8531625,4406.0,7.7945,CP,,,0.77,5.95763,
304142124,1793.01,55.087,5175.0,7.8436,CP,,,0.87,4.36639,
22903436,7032.01,17.7456043,4526.0,8.1532,PC,,,0.72,2.44767,
31374837,431.01,12.4610086,4891.0,8.1705,CP,,,0.726632,3.2809492,
354518617,2540.01,12.7187255,4036.3,8.2731,PC,,,0.661076,2.5924633,
318753380,2443.01,15.6692322,4214.44,8.2969,CP,,,0.732115,2.6868893,
120896927,402.02,17.1807214,5175.2,8.3157,CP,,,0.841842,2.1954034,
27491137,2076.01,10.3563596,5149.6,8.3745,CP,,,0.772148,2.4103206,
387834907,1405.01,12.64001,5195.1,8.4239,FP,,,,,
37749396,260.01,13.4758478,4111.0,8.4991,CP,,,0.618173,1.9840882,
16884216,2023.01,11.1900486,4958.0,8.5049,APC,,,0.695992,1.6608182,
101011575,560.02,18.8792871,4695.0,8.5925,CP,,,0.63,1.99787,
298647682,1643.01,20.0795217,4763.0,8.6628,PC,,,0.777584,2.7170462,
425997655,174.03,12.1623316,4813.0,8.7513,CP,,,0.69,1.15643,
23961340,7062.01,10.5137924,4942.0,8.863,PC,,,0.77,3.1867,
4646810,461.01,10.9245478,4884.0,8.8723,CP,,,0.74413,1.9015018,
460140752,1947.01,12.0077462,4990.7,8.9301,FP,,,,,
142387023,1824.01,22.8085719,5182.0,8.9754,CP,,,0.82,2.45459,
121490076,6726.01,14.2456603,4760.0,8.9988,KP,,,0.76,3.68209,
381976956,866.01,22.338916,4866.0,9.0099,FA,,,7.56825,18.449977,
456260074,6249.02,15.5739143,4813.0,9.0449,PC,,,0.751037,2.5864246,
311183180,550.02,10.043245,5076.0,9.1073,FP,,,0.670549,16.682435,
237222864,1255.01,10.288886,5126.0,9.1416,CP,,,0.87,2.63881,
34077285,880.03,14.3318853,4935.0,9.2563,PC,,,0.82,2.87022,
202428245,5396.01,32.1400505,5019.0,9.3373,FP,,,3.37,22.7389,
102840239,815.01,11.1972769,4953.9,9.36,CP,,,0.76,2.62397,
62483237,139.01,11.0708575,4356.0,9.3636,CP,,,0.700727,2.3337648,
192790476,2459.01,19.1047019,4195.0,9.3951,CP,,,0.675093,2.9365337,
424388628,6075.01,832.9236254,4193.0,9.4287,PC,,,0.725064,1.7373781,
249945230,1563.01,1098.2258586,4582.0,9.4397,PC,,,0.74,5.13949,
153077621,454.01,18.0826084,3321.0,9.441,APC,,,0.296,3.911716,
303317324,4310.01,739.1670007,4159.0,9.4961,PC,,,0.721084,2.6735992,
464296022,1030.01,12.1246519,4807.6,9.5706,FP,,,1.07,17.6729,
394672497,3485.01,11.8413467,4554.0,9.6181,PC,,,0.77,2.20757,
407126408,913.01,11.099348,4948.0,9.6181,CP,,,0.732535,2.4827074,
117938087,2482.01,14.9315582,4779.1,9.6254,PC,,,0.61,1.58293,
64071894,458.01,17.5288347,5164.0,9.6438,PC,,,0.829519,2.8950078,
154923406,4590.01,25.9213509,5011.0,9.6446,PC,,,0.786678,1.9119702,
306996324,776.01,15.6653322,3806.0,9.73597,CP,,,0.533024,2.0999942,
219344917,871.01,14.362738,4939.0,9.7607,CP,,,0.732189,1.6866314,
142381532,1823.01,38.8135498,4760.0,9.7722,CP,,,0.82,8.20695,
234345288,213.01,23.5199045,4566.4,9.7806,PC,,,0.67,2.30502,
91287873,5554.01,26.694279,3997.0,9.83733,PC,,,0.626722,2.6845863,
74534430,687.01,36.2995129,4253.9,9.8445,PC,,,0.617519,2.2115007,
326386495,4424.01,17.7424733,4926.2,9.8496,PC,,,0.69,2.00179,
119584412,1801.01,10.6439385,3815.0,9.85623,CP,,,0.55,1.98891,
156199502,2105.01,15.9152686,4718.0,9.8565,PC,,,0.821067,2.2277479,
356747847,1958.01,14.6483913,4851.6,9.9055,PC,,,5.42,33.3954,
150151262,712.02,51.6991421,4504.0,9.9059,CP,,,0.72,2.45531,
12421862,198.01,10.2150168,3763.0,9.92801,CP,,,0.447336,1.4777754,
408636441,1759.01,18.8500438,3960.0,9.92838,CP,,,0.63,3.09094,
303432813,5076.01,23.4428912,4794.4,9.9909,CP,,,0.85,3.02618,
